"index","id","name","primaryMuscle","inferredMuscle","bodyPart","equipment","imageTarget","videoTarget","duplicateCount","quality","flags"
"3834","kneeling_shoulder_tap_push_up","Kneeling Shoulder Tap Push-up","Quads","Shoulders","Plyometrics","Body weight","","Shoulders","1","54","missing_image;muscle_mismatch:Quads->Shoulders"
"3835","landmine_front_squat","Landmine Front Squat","Quads","Quads","Quadriceps, Thighs","Barbell","Thighs","Thighs","1","74",""
"3836","landmine_rear_lunge","Landmine Rear Lunge","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","","2","44","missing_video;duplicate_group"
"3837","landmine_rear_lunge_landmine_rear_lunge_8du","Landmine Rear Lunge","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","Thighs","2","74","duplicate_group"
"3838","landmine_squat_and_press","Landmine Squat and Press","Quads","Quads","Thighs","Leverage machine","","","2","44","missing_video;duplicate_group"
"3839","landmine_squat_and_press_landmine_squat_and_press_847","Landmine Squat and Press","Quads","Quads","Quadriceps, Thighs","Leverage machine","","","2","74","duplicate_group"
"3840","landmine_stand_up_high_knee","Landmine Stand Up High Knee","Quads","Custom","Thighs","Leverage machine","","","1","44","missing_video"
"3841","lateral_bound","Lateral Bound","Quads","Custom","Cardio","Body weight","","","2","44","missing_video;duplicate_group"
"3842","lateral_bound_lateral_bound_6od","Lateral Bound","Quads","Custom","Plyometrics","Body weight","","","2","44","missing_video;duplicate_group"
"3843","lateral_box_jump","Lateral Box Jump","Quads","Custom","Plyometrics","Body weight","","","1","74",""
"3844","lateral_speed_step","Lateral Speed Step","Quads","Custom","Plyometrics","Body weight","","","1","44","missing_video"
"3845","lateral_waste","Lateral Waste","Quads","Custom","Thighs","Body weight","","","1","24","missing_image;missing_video"
"3846","left_hook_boxing","Left hook. Boxing","Quads","Custom","Plyometrics","Body weight","","","1","74",""
"3847","left_uppercut_boxing","Left Uppercut. Boxing","Quads","Custom","Plyometrics","Body weight","","","1","74",""
"3848","leg_pull","Leg Pull","Quads","Custom","Thighs","Body weight","","","1","74",""
"3849","leg_pull_front_supported","Leg Pull Front Supported","Quads","Custom","Thighs","Body weight","","","1","44","missing_video"
"3850","leg_raise","Leg Raise","Quads","Core","Thighs","Body weight","","","1","44","missing_video;muscle_mismatch:Quads->Core"
"3851","lever_alternate_leg_extension","Lever Alternate Leg Extension","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","Thighs","1","74",""
"3852","lever_alternate_leg_press","Lever Alternate Leg Press","Quads","Quads","Thighs","Leverage machine","Thighs","","1","44","missing_video"
"3853","lever_belt_squat","Lever Belt Squat","Quads","Quads","Thighs","Leverage machine","Thighs","","1","44","missing_video"
"3854","lever_chair_squat","Lever Chair Squat","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","","1","44","missing_video"
"3855","lever_full_squat","Lever Full Squat","Quads","Quads","Thighs","Leverage machine","Thighs","","1","44","missing_video"
"3856","lever_horizontal_leg_press","Lever Horizontal Leg Press","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","","2","44","missing_video;duplicate_group"
"3857","lever_horizontal_leg_press_lever_horizontal_leg_press_83i","Lever Horizontal Leg Press","Quads","Quads","Thighs","Leverage machine","Thighs","","2","44","missing_video;duplicate_group"
"3858","lever_leg_extension_lever_leg_extension_7u9","Lever Leg Extension","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","Thighs","4","74","duplicate_group"
"3859","lever_leg_extension","Lever Leg Extension","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","Thighs","4","74","duplicate_group"
"3860","lever_leg_extension_lever_leg_extension_6pp","Lever Leg Extension","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","Thighs","4","74","duplicate_group"
"3861","lever_leg_extension_lever_leg_extension_hj","Lever Leg Extension","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","","4","44","missing_video;duplicate_group"
"3862","lever_one_leg_extension","Lever One Leg Extension","Quads","Quads","Quadriceps, Thighs","Leverage machine","Thighs","Thighs","1","74",""
"3863","lever_pistol_squat","Lever Pistol Squat","Quads","Quads","Thighs","Leverage machine","Thighs","","1","44","missing_video"
